path,parentId,name,ID,synapseStore,contentType,used,executed,activityName,activityDescription
c:\users\kit02\github\cataract-1k\videos\case_4923.mp4,syn53395325,case_4923.mp4,syn53395351,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4924.mp4,syn53395325,case_4924.mp4,syn53395352,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4927.mp4,syn53395325,case_4927.mp4,syn53395353,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4939.mp4,syn53395325,case_4939.mp4,syn53395354,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4999.mp4,syn53395325,case_4999.mp4,syn53395355,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5004.mp4,syn53395325,case_5004.mp4,syn53395356,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5006.mp4,syn53395325,case_5006.mp4,syn53395357,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5011.mp4,syn53395325,case_5011.mp4,syn53395358,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5013.mp4,syn53395325,case_5013.mp4,syn53395359,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5014.mp4,syn53395325,case_5014.mp4,syn53395361,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5015.mp4,syn53395325,case_5015.mp4,syn53395362,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5016.mp4,syn53395325,case_5016.mp4,syn53395363,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5017.mp4,syn53395325,case_5017.mp4,syn53395364,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5032.mp4,syn53395325,case_5032.mp4,syn53395365,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5051.mp4,syn53395325,case_5051.mp4,syn53395366,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5057.mp4,syn53395325,case_5057.mp4,syn53395367,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5058.mp4,syn53395325,case_5058.mp4,syn53395368,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5063.mp4,syn53395325,case_5063.mp4,syn53395369,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5072.mp4,syn53395325,case_5072.mp4,syn53395370,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5104.mp4,syn53395325,case_5104.mp4,syn53395371,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5261.mp4,syn53395325,case_5261.mp4,syn53395372,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5300.mp4,syn53395325,case_5300.mp4,syn53395373,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5301.mp4,syn53395325,case_5301.mp4,syn53395374,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5303.mp4,syn53395325,case_5303.mp4,syn53395375,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5304.mp4,syn53395325,case_5304.mp4,syn53395376,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5305.mp4,syn53395325,case_5305.mp4,syn53395379,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5309.mp4,syn53395325,case_5309.mp4,syn53395380,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5311.mp4,syn53395325,case_5311.mp4,syn53395387,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5314.mp4,syn53395325,case_5314.mp4,syn53395388,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5315.mp4,syn53395325,case_5315.mp4,syn53395390,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5316.mp4,syn53395325,case_5316.mp4,syn53395391,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5317.mp4,syn53395325,case_5317.mp4,syn53395392,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5319.mp4,syn53395325,case_5319.mp4,syn53395393,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5329.mp4,syn53395325,case_5329.mp4,syn53395394,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5331.mp4,syn53395325,case_5331.mp4,syn53395395,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5334.mp4,syn53395325,case_5334.mp4,syn53395396,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5335.mp4,syn53395325,case_5335.mp4,syn53395397,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5340.mp4,syn53395325,case_5340.mp4,syn53395399,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5353.mp4,syn53395325,case_5353.mp4,syn53395400,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_5357.mp4,syn53395325,case_5357.mp4,syn53395401,True,video/mp4,,,,
